Date,Day,Shift,Class,Year,Subject,Paper Code,Paper Name
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,4th,Education,0458709,3-Plant Biotechnology and Molecular Biology 
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,4th,Education,0458712,4-Biostatistics and Bioinformatics
04-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,4th,Education,0458715,5-Metric Space and Topology
06-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Bio-Technology,0128705,Genetics
06-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Microbiology,0128805,Bio-Chemistry
06-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,"Physical Education, Health Education & Sports",0159005,Theory of Games & Sports (Yoga)
06-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Ed.,1st,Education,0158005,Pedagogy of Hindi
06-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.A. B.Ed.,1st,Education,0158609,Political Science (Political Theory)
06-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Sc. B.Ed.,1st,Education,0158707,a) Animal Diversity and Evolution
06-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Sc. B.Ed.,1st,Education,0158709,b) Algebra and Coordinate Geometry in Two Dimensions
06-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.El.Ed.,1st,Education,0158905,Elementary Level Social Science
06-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.P.Ed.,1st,Education,0158205,Educational Technology and Methods of Teaching in Physical Education
06-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,3rd,Bio-Technology,0328703,Molecular Virology
06-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,3rd,Microbiology,0328803,Food and Dairy Microbiology
06-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,3rd,"Physical Education, Health Education & Sports",0359003,Kinesiology & Bio-Mechanics
06-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,3rd,Education,0358903,Logic of Mathematics Education
06-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.F.A.,3rd,Art,0318603,Advertising Theory
06-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,3rd,Education,0358605,a) Sanskrit
06-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,3rd,Education,0358609,b) History of Modern World (1453-1950 A.D.)
06-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,3rd,Education,3058703,Inorganic Chemistry
