Date,Day,Shift,Class,Subject,Paper Name,Paper Code,Year
5-May-26,Monday,Shift-I (10:00 AM - 01:00 PM),M.Com.,Commerce,Industrial Relations and Labour Laws,CI-4506,4th
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Economics,Basic Economics,Q10004,NA
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Physical Education,Health Personal & Environmental,Q10005,NA
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Botany,Disaster Management System in India,Q10006,NA
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Physics,Earths Atmosphere and Climate Change,Q10007,NA
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Zoology,Environment and Public Health Challenges,Q10008,NA
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Microbiology,Public Health and Hygiene,Q10010,NA
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Philosophy,Applied Yoga,Q10012,NA
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Industrial Microbiology,Food and Food Sources,Q10029,NA
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,-,Yoga for All,Q10032,NA
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Psychology,Psychology of Everyday Life,Q10034,NA
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,-,Scientific Progress and Environmental Awareness in India,Q10036,NA
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Hindi,Karyali Hindi and Computer,QA010201T,2nd
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,English,English Poetry,QA040201T,2nd
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,History,History of Medieval India (1206 AD - 1757 AD),QA050201T,2nd
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Political Science,Political Theory & Concept,QA060201T,2nd
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Sociology,Political Sociology,QA070203T,2nd
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Geography,Human Geography,QA110201T,2nd
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Fine Art,Fundamentals of Art,QA140201T,2nd
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Social Science,Social Science Concepts and Social Problems,QA160201T,2nd
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Physical Education,Sports Organisation and Management,QE020201T,2nd
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Physics,Thermal Physics & Semiconductor Devices,QB010201T,2nd
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Mathematics,Matrices and Differential Equations & Geometry,QB030201T,2nd
28-Apr-26,Tuesday,Shift-I (10:00 AM - 01:00 PM),Minor,Botany,Archegoniate & Plant Archietecture,QB040201T,2nd
